,Unnamed: 0,LocationID,February,March,April,May,June,July,August,September,Octorber,Novermber,December,January(2021),February(2021),OBJECTID,zone,borough,RatecodeID,PULocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
0,185,4,80,-48,-21,-2,7,2,17,-13,10,-3,-9,7,-10,4,Alphabet City,Manhattan,1.0,4.0,1.4444444444444444,65.65277777777776,28.546707818930116,1.4393004115226338,0.06790123456790123,1.0298353909465021,1.0189094650205766,,0.2999999999999996,32.40831275720163,1.0,1.0,0.0
1,55,24,1379,-673,-587,38,78,51,-15,64,24,-60,-5,-39,13,24,Bloomingdale,Manhattan,1.0124269005847952,24.0,1.2687134502923976,2.3583353584447186,11.371661941406774,0.4791076009180505,0.4623329283110571,1.4621641690292961,0.15063183475091113,,0.2968408262454263,14.94413797758967,1.360233918128655,1.0029239766081872,0.9104897660818714
2,2,41,23022,-9342,-10947,616,599,376,217,117,144,-178,21,-454,-643,41,Central Harlem,Manhattan,1.0427623816889962,41.0,1.2393836903419766,3.5712083219770028,10.16643375703022,0.40048275064628297,0.46674843281548106,0.931615253103424,0.12591986917416723,,0.296672365519252,12.808256564022189,1.5217744684198107,1.0104174859949486,0.49484806376340423
3,6,42,14376,-5003,-6864,1294,-271,94,73,7,62,-286,-285,-410,-254,42,Central Harlem North,Manhattan,1.0984865823653944,42.0,1.2244235280654574,6.2431500401113915,12.543562243404647,0.4359427351234014,0.4058267660799396,0.7751810910292136,0.23564414138077816,,0.29518663583552796,14.955213887985263,1.6008897408021971,1.0238456256794644,0.3176388968358414
4,20,43,4505,-1831,-2426,178,461,152,-31,359,279,-191,-109,-12,-333,43,Central Park,Manhattan,1.0104695679349949,43.0,1.3944839440581296,2.4547173393067268,11.081410076312704,0.5939481377425111,0.48407304757204145,1.8223224116329675,0.11327916777402222,,0.2982801169369871,16.12126010858073,1.2599421829830455,1.0036330963356512,1.9387061489178843
5,171,45,140,-69,-66,2,8,4,-1,20,-19,-1,-4,9,-6,45,Chinatown,Manhattan,1.4705882352941178,45.0,1.0294117647058822,8.812566248256632,36.040390516039125,1.6882845188284519,0.07182705718270571,0.5369595536959554,0.8702649930264998,,0.29958158995816236,39.51002789400264,1.1176470588235294,1.0,0.0
6,189,48,61,-26,-32,4,15,9,4,-5,12,-12,-5,6,9,48,Clinton East,Manhattan,2.0,48.0,1.0,8.854868154158206,32.3244827586207,1.1323529411764706,0.05476673427991886,1.24894523326572,1.5086409736308322,,0.29999999999999977,36.59271805273838,1.25,1.0,0.0
7,197,50,47,-25,-16,4,10,0,3,-3,2,3,-6,-4,0,50,Clinton West,Manhattan,1.2352941176470589,50.0,1.0,7.961032448377581,32.66421828908554,1.146755162241888,0.07669616519174041,1.0626843657817109,0.9687315634218295,,0.2999999999999982,36.22646017699113,1.1176470588235294,1.0,0.14705882352941177
8,186,68,77,-44,-15,6,6,4,13,3,-11,3,-13,9,4,68,East Chelsea,Manhattan,1.2,68.0,1.0,9.143378607809844,33.543378607809856,1.0038200339558574,0.0432937181663837,1.2559422750424447,2.0116808149405734,,0.29949066213922065,38.17534804753822,1.0,1.05,0.0
9,0,74,31143,-13400,-14143,1456,1284,537,214,1000,650,-546,-862,-644,-596,74,East Harlem North,Manhattan,1.0424925259111772,74.0,1.3197706943533785,3.437145719832263,11.120924632383659,0.42344827193596685,0.46850175624363116,1.2218017864157216,0.2028812642676977,,0.2973391628105176,14.306430925825943,1.4474949019796561,1.010298301862958,0.7179170601716784
10,1,75,26244,-10625,-12347,1404,1329,870,-890,694,759,-687,-77,-486,-776,75,East Harlem South,Manhattan,1.026542213488666,75.0,1.3783283037406133,3.123135531619667,11.608164937553331,0.5493458005682944,0.46783519460781076,1.271887067997099,0.247696557192891,,0.2974406925266813,15.30957437389223,1.4239595761106043,1.006491683626921,1.0680065267738086
11,213,79,30,-10,-18,0,18,-1,-3,0,3,0,-5,-1,1,79,East Village,Manhattan,1.3636363636363635,79.0,1.0,7.639660377358492,30.01128301886791,1.0820754716981131,0.06792452830188679,1.2496226415094338,1.3442641509433968,,0.2999999999999985,34.07215094339622,1.0909090909090908,1.0,0.22727272727272727
12,172,87,133,-52,-79,-1,12,-2,13,3,-16,1,6,-5,14,87,Financial District North,Manhattan,1.0,87.0,1.0,10.446377952755908,38.54496062992138,1.7854330708661417,0.09370078740157481,0.4748031496062992,2.1803307086614123,,0.3000000000000024,43.38631496062983,1.0,1.0,0.1
13,182,88,90,-45,-42,-2,5,2,2,0,2,3,-3,-4,10,88,Financial District South,Manhattan,1.0,88.0,1.0,11.119801488833744,38.75858560794047,1.6929280397022333,0.09057071960297766,0.4944168734491315,2.5362034739454105,,0.2985111662530998,43.882382133994945,1.0,1.0,0.0
14,203,90,43,-19,-16,-2,12,3,0,7,0,-10,5,-3,-5,90,Flatiron,Manhattan,1.0,90.0,1.5,9.040844686648498,33.310054495912766,1.07425068119891,0.08310626702997276,1.2513623978201636,2.18732970027248,,0.2999999999999981,38.206103542234324,1.0,1.0,0.0
