OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,xcoord,ycoord
"1",0.11635745319,0.00078230679,Newark Airport,"1",EWR,935996.821016207,191376.749530832
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1032417.75770119,166735.079475022
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1025704.33672742,170259.417732792
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1041170.81766669,169794.504776535
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1028549.8604203,168613.243625957
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1035947.33162363,167128.210559377
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1024627.7147261,166657.734781702
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1020078.41569797,165642.334357069
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1039154.01952502,165763.02503681
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1047081.36076394,167067.798957007
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1047202.95459941,165859.057477887
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1042319.94146884,163598.210817523
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1048241.50467593,164295.977170276
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1027379.33315242,161469.392029159
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1024645.38176843,162031.954234632
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1035498.07853163,162969.697073995
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1035610.28673923,161753.465538268
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1019977.12489431,160821.095405852
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1039860.18127122,160480.150769487
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1030576.91061776,160694.477015228
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1032238.46777754,161199.308802771
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1020881.73784003,160779.906668376
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1032190.40144687,160458.534307661
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1035459.49728293,160235.578275511
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1036348.48402466,158441.876239868
"2",0.43346966679,0.00486634038,Jamaica Bay,"2",Queens,1021005.27537425,159216.248383726
