,LocationID,February,March,April,May,June,July,August,September,Octorber,Novermber,December,January(2021),February(2021),OBJECTID,zone,borough
0,74,15435,-5888,-7530,612,565,348,-287,417,218,-413,55,-377,-379,74,East Harlem North,Manhattan
1,42,14336,-5108,-7033,1028,-146,133,78,72,189,-435,-100,-317,-268,42,Central Harlem North,Manhattan
2,41,13060,-5640,-5917,507,258,321,17,119,123,-228,-115,-231,-247,41,Central Harlem,Manhattan
3,75,11313,-4151,-5438,932,214,218,-91,229,423,-413,-243,-204,-381,75,East Harlem South,Manhattan
5,166,8892,-4318,-3859,83,287,86,33,232,129,-171,-100,20,-196,166,Morningside Heights,Manhattan
7,236,6565,-3253,-2893,164,256,217,-10,397,261,-162,-112,-6,-115,236,Upper East Side North,Manhattan
9,238,6386,-3093,-2773,165,217,198,11,261,180,-41,-127,-52,-137,238,Upper West Side North,Manhattan
13,244,5866,-2449,-2751,306,177,67,15,145,32,-118,-118,-11,-16,244,Washington Heights South,Manhattan
14,116,5567,-2381,-2584,291,162,111,8,-8,107,-113,-128,-70,-129,116,Hamilton Heights,Manhattan
17,151,4677,-2028,-2113,147,153,99,96,79,56,42,-113,-57,-142,151,Manhattan Valley,Manhattan
20,152,4103,-1710,-1962,95,88,123,-2,47,-70,13,-94,26,-111,152,Manhattanville,Manhattan
22,263,3976,-1665,-1898,194,204,213,-50,99,174,-17,-123,-9,-240,263,Yorkville West,Manhattan
27,239,3798,-1905,-1679,78,108,107,61,174,31,-23,-54,-36,-81,239,Upper West Side South,Manhattan
30,237,2891,-1445,-1301,70,161,43,92,71,173,-49,-113,18,-102,237,Upper East Side South,Manhattan
36,243,2746,-1171,-1270,96,82,104,34,14,34,20,-115,-28,-84,243,Washington Heights North,Manhattan
38,142,2669,-1402,-1112,88,135,80,25,79,27,-14,-93,14,-93,142,Lincoln Square East,Manhattan
42,140,2485,-962,-1153,137,191,170,-22,44,67,-75,-94,-30,-73,140,Lenox Hill East,Manhattan
43,43,2313,-1140,-1050,108,154,40,47,66,132,-86,-36,-38,-12,43,Central Park,Manhattan
46,141,2177,-968,-989,78,89,116,4,58,71,-19,-97,-29,-52,141,Lenox Hill West,Manhattan
52,24,2037,-892,-941,88,68,-44,111,24,82,-52,-63,19,-55,24,Bloomingdale,Manhattan
56,262,1947,-838,-959,75,84,58,51,62,55,15,-81,0,15,262,Yorkville East,Manhattan
65,48,1758,-830,-741,63,89,38,9,22,1,2,-82,41,-39,48,Clinton East,Manhattan
77,161,1571,-779,-685,20,70,52,41,34,-19,-10,29,-39,-57,161,Midtown Center,Manhattan
82,162,1462,-659,-694,46,22,26,4,68,15,19,-80,-5,-67,162,Midtown East,Manhattan
84,170,1393,-642,-646,93,82,98,28,20,-29,10,7,-13,-93,170,Murray Hill,Manhattan
89,231,1346,-639,-644,82,55,28,6,-5,70,-54,-85,20,-9,231,TriBeCa/Civic Center,Manhattan
93,137,1245,-446,-319,989,-746,-229,10,-14,-18,-18,-42,15,-54,137,Kips Bay,Manhattan
98,127,1216,-496,-564,79,51,33,-15,26,14,-35,-25,20,-52,127,Inwood,Manhattan
99,143,1199,-461,-556,31,38,82,-44,34,44,-22,-21,-2,-27,143,Lincoln Square West,Manhattan
103,230,1173,-610,-487,78,-60,17,26,-12,40,-26,-3,-40,-13,230,Times Sq/Theatre District,Manhattan
105,68,1127,-525,-506,69,63,39,12,-23,40,8,-15,-58,-40,68,East Chelsea,Manhattan
106,79,1126,-571,-492,21,44,51,-5,-9,98,-38,-90,10,-29,79,East Village,Manhattan
107,229,1123,-532,-507,106,-11,64,-23,47,-20,-6,-7,14,-62,229,Sutton Place/Turtle Bay North,Manhattan
108,163,1106,-538,-519,37,43,62,11,56,11,-47,-29,8,-41,163,Midtown North,Manhattan
109,233,1057,-531,-441,64,36,7,34,4,30,-33,-20,4,-23,233,UN/Turtle Bay South,Manhattan
111,107,1014,-436,-452,61,53,12,44,-4,19,10,-105,7,-41,107,Gramercy,Manhattan
116,186,959,-462,-437,48,36,48,11,-9,38,-56,3,-41,-30,186,Penn Station/Madison Sq West,Manhattan
117,234,932,-503,-360,30,24,45,5,34,7,-17,-43,35,-73,234,Union Sq,Manhattan
126,148,853,-487,-340,20,19,19,16,-17,16,4,-12,-8,-10,148,Lower East Side,Manhattan
129,246,823,-381,-354,22,32,-3,44,-38,25,-9,-31,13,-22,246,West Chelsea/Hudson Yards,Manhattan
133,164,790,-356,-378,47,47,-3,28,-10,-3,1,-29,14,-36,164,Midtown South,Manhattan
137,90,746,-355,-325,37,27,45,10,-20,13,-7,-10,-3,-49,90,Flatiron,Manhattan
141,87,687,-305,-353,22,22,-3,25,9,40,-55,6,-13,-28,87,Financial District North,Manhattan
144,113,666,-323,-318,29,31,21,10,3,2,14,-22,-10,-24,113,Greenwich Village North,Manhattan
146,45,664,-318,-328,47,30,1,21,-9,8,-35,14,-22,-15,45,Chinatown,Manhattan
147,50,661,-277,-278,205,137,-3,-123,-104,-7,-4,-25,-15,-10,50,Clinton West,Manhattan
