,PULocationID
74,3600
75,3272
41,2733
42,2509
244,1462
97,1200
166,866
65,820
116,730
159,620
82,605
61,604
130,466
188,455
197,449
95,448
7,413
25,344
152,334
69,326
247,311
213,288
17,276
168,268
243,260
76,258
185,251
43,248
225,224
174,222
35,212
55,211
226,206
89,201
52,200
242,193
49,191
235,190
92,187
39,186
29,183
37,178
181,177
51,172
169,170
129,167
136,161
254,160
205,150
119,144
71,143
127,131
167,126
18,121
215,121
10,119
47,119
24,119
260,117
72,116
196,116
182,116
179,114
33,113
91,108
227,108
81,106
78,104
241,97
212,97
208,94
193,94
22,94
177,88
62,88
14,87
106,87
121,86
77,84
210,80
83,79
250,78
228,78
32,76
218,73
94,73
220,72
248,70
60,69
223,68
85,68
86,67
56,65
145,63
126,61
38,61
236,61
21,61
165,61
134,60
155,60
191,59
147,59
117,57
139,56
26,56
259,54
219,50
123,50
222,48
146,47
28,47
3,47
63,46
263,46
216,43
66,42
264,42
20,41
9,41
133,40
189,39
36,37
131,35
258,35
173,34
203,33
70,33
102,32
198,32
207,31
108,28
153,26
122,25
137,25
80,25
195,24
16,24
183,24
11,23
171,21
135,21
160,21
46,20
256,20
68,18
124,18
200,18
112,18
98,17
255,17
157,17
19,17
101,16
252,16
140,16
150,15
40,15
107,15
257,14
156,14
151,14
149,13
53,13
31,13
194,12
217,12
246,12
4,11
67,11
180,10
232,10
238,10
175,9
201,9
190,9
115,9
90,8
34,8
192,8
170,8
240,8
64,7
93,7
184,7
237,7
54,6
50,6
59,6
142,6
15,6
143,6
262,5
45,5
202,5
161,5
128,5
73,5
162,4
141,4
231,4
229,4
224,4
178,3
120,3
233,3
48,3
96,3
88,3
221,2
1,2
154,2
239,2
87,2
79,2
57,2
261,2
144,2
100,2
23,2
148,1
113,1
234,1
138,1
187,1
158,1
251,1
164,1
13,1
125,1
8,1
58,1
186,1
30,1
