,DOLocationID
74,3542
42,3210
75,3088
41,2589
61,1239
244,1216
166,1171
116,1166
238,1100
236,1056
263,1024
151,935
140,868
76,859
168,802
97,774
152,737
188,727
17,693
95,675
247,611
225,605
181,602
159,598
243,587
35,581
89,576
242,567
49,565
69,559
197,550
213,548
226,542
25,541
7,512
239,507
141,503
137,494
235,467
129,467
82,466
142,458
39,455
50,445
72,441
169,436
43,425
237,419
130,411
91,382
33,380
170,378
48,377
55,371
51,369
262,367
174,361
119,361
167,346
37,345
254,338
143,333
71,328
177,327
47,322
65,321
18,319
127,319
24,316
62,314
264,310
14,304
196,284
228,280
193,275
145,271
136,269
134,268
68,267
205,266
185,265
220,262
260,258
10,256
107,252
78,251
161,249
26,245
229,243
121,238
77,236
223,235
231,228
138,226
92,224
227,224
189,221
215,220
179,218
56,218
218,214
28,214
85,209
126,209
216,205
182,205
162,203
117,198
250,193
232,193
173,192
186,192
233,192
212,191
163,191
195,188
123,180
86,180
165,179
79,179
259,177
90,175
32,174
208,174
210,174
135,174
248,172
22,172
106,169
132,168
234,168
36,165
81,164
241,162
155,162
131,161
147,159
63,157
94,155
100,155
60,151
80,149
164,147
191,145
258,144
222,143
160,143
66,143
83,142
246,139
29,133
20,130
133,125
139,123
146,120
102,117
219,114
3,114
40,114
256,113
230,111
70,111
4,110
21,110
113,106
198,105
217,104
38,104
108,102
149,102
45,96
200,96
112,91
150,91
207,91
157,89
224,87
148,84
249,83
125,83
88,82
93,80
257,79
153,78
11,77
144,74
67,74
52,74
53,72
203,71
194,71
87,70
158,68
240,68
255,67
54,67
183,67
9,65
16,63
192,62
252,59
261,59
171,58
122,57
31,51
202,51
124,51
120,48
190,46
184,46
201,45
209,44
180,42
178,41
156,40
115,39
13,39
19,34
46,32
154,31
128,31
211,30
114,30
15,29
98,28
101,27
96,26
73,25
57,21
175,21
64,19
34,19
59,17
58,14
23,13
206,10
1,9
27,8
253,5
12,5
111,4
44,4
251,4
30,4
221,4
118,3
8,3
187,2
2,2
172,2
245,1
109,1
6,1
