,DOLocationID
74,2776
42,2429
75,2408
41,2027
236,1309
238,1195
244,1145
61,1144
166,1118
151,896
263,858
116,833
95,778
188,755
97,696
140,685
76,656
181,651
49,619
239,579
17,569
168,568
242,558
152,546
213,544
89,544
197,538
225,531
7,514
237,509
43,498
35,497
39,487
262,484
129,481
69,477
82,466
243,462
130,460
141,439
72,432
25,429
51,421
247,421
142,403
33,399
159,396
24,382
137,373
235,367
91,355
174,354
47,344
226,336
48,331
71,331
228,324
193,322
136,317
14,317
170,308
196,305
169,296
62,296
143,295
65,295
55,294
254,294
28,292
119,287
177,285
37,284
220,280
134,276
205,272
167,265
260,259
10,257
78,256
264,254
121,253
127,252
179,252
215,252
56,249
26,245
241,245
185,245
18,244
189,238
216,238
77,230
223,229
161,228
135,225
182,209
165,207
191,198
155,192
68,191
233,188
229,186
218,184
208,183
107,182
250,181
92,181
117,177
85,177
131,175
102,174
22,174
210,172
231,171
40,171
106,168
123,167
126,165
163,160
212,157
162,157
50,157
20,153
195,153
222,152
227,152
173,152
3,148
94,144
29,138
32,131
259,131
36,131
66,131
248,130
81,129
198,129
145,127
138,127
147,125
80,123
246,121
160,120
232,120
108,119
63,119
86,119
67,118
256,118
234,116
79,116
149,115
60,114
258,113
133,113
164,112
83,111
70,111
219,110
90,109
21,109
186,108
157,106
257,105
139,101
100,101
52,100
112,99
200,91
217,89
150,86
122,84
230,83
132,83
31,80
11,79
113,79
255,78
203,76
146,76
148,73
9,72
224,71
153,70
4,69
16,68
240,68
201,65
178,65
192,64
54,64
93,63
249,60
38,60
45,58
171,57
183,55
87,54
98,54
23,53
124,52
261,51
128,49
194,47
19,43
207,42
202,41
53,40
144,40
154,40
114,38
252,37
190,37
120,36
158,33
96,33
34,32
73,32
13,31
180,30
209,29
57,27
46,27
88,27
101,27
125,25
211,25
184,23
64,21
15,21
175,21
115,17
58,11
59,10
44,9
1,8
253,8
156,8
27,7
118,7
8,5
84,4
12,4
251,4
206,4
30,3
214,3
221,2
245,2
111,2
6,1
176,1
187,1
204,1
172,1
