,PULocationID
74,8195
75,6751
41,4624
42,3482
244,2578
95,2428
97,2202
166,2137
7,1739
82,1585
65,1485
43,1455
130,1427
61,1310
116,1281
25,1101
33,1065
129,984
181,932
188,863
76,797
242,727
17,707
196,704
225,659
89,656
52,650
152,642
213,642
197,634
39,624
51,609
35,607
49,601
243,601
159,588
69,577
134,557
260,551
72,528
247,518
235,501
14,489
168,476
55,461
71,450
91,432
169,430
174,415
254,415
193,408
167,403
18,371
136,368
228,364
226,363
47,360
62,354
185,348
26,342
177,341
127,339
37,337
119,334
179,331
78,330
205,307
10,305
212,304
182,303
24,299
34,277
85,277
210,276
92,275
165,273
223,269
56,266
215,261
241,259
220,256
32,245
83,245
218,238
123,234
22,231
250,226
222,225
81,225
121,218
248,218
77,217
216,217
227,216
155,210
208,209
70,208
145,206
117,198
259,193
147,193
106,192
60,191
29,190
189,190
236,186
173,186
131,183
28,181
20,178
66,176
3,175
191,171
112,166
21,166
122,165
108,163
146,157
94,153
133,144
36,143
149,142
264,142
126,141
140,136
86,136
135,135
195,133
63,125
258,122
80,120
102,119
40,118
139,117
67,115
263,108
255,102
219,101
153,97
256,96
137,93
200,92
11,90
160,89
183,88
198,88
157,77
257,75
171,74
9,74
16,74
170,73
19,73
38,71
192,71
151,68
150,65
232,61
217,58
98,57
203,57
238,52
201,51
124,51
178,50
107,48
190,44
237,43
252,43
68,42
207,39
57,38
101,35
141,34
128,34
53,30
180,30
48,30
15,30
4,29
46,29
240,27
175,27
64,26
231,26
50,25
239,24
233,23
31,22
54,22
162,21
143,20
262,20
93,20
202,19
79,19
164,18
90,18
45,18
113,18
142,18
161,17
23,16
224,16
144,15
88,15
186,14
234,14
132,13
156,13
184,13
58,13
87,12
73,12
229,12
120,12
230,11
100,11
206,11
246,10
163,10
96,10
209,10
261,10
249,8
194,8
115,8
6,7
118,7
148,7
211,7
138,6
8,6
187,5
13,4
154,3
125,3
59,3
30,3
253,2
1,2
5,2
44,2
27,2
111,2
114,2
158,2
214,1
251,1
204,1
176,1
